,LotFrontage,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,YearsSinceBuilt,YearsSinceRemodeling,YearsSincegarageBuilt
377,102.0,0.0,0,1580,1580,886,2466,3,8,1,2,610,159,214,340000,21,20,21.0
378,88.0,350.0,1445,1856,1856,0,1856,1,8,1,3,834,113,0,394432,15,15,15.0
379,60.0,16.0,0,982,1007,793,1800,2,7,1,2,463,100,63,179000,25,25,25.0
380,50.0,0.0,218,1026,1026,665,1691,2,6,1,1,308,0,0,127000,101,75,101.0
381,60.0,0.0,0,1293,1301,0,1301,2,5,1,2,572,216,121,187750,19,19,19.0
382,79.0,0.0,0,939,939,858,1797,2,8,0,2,639,144,53,213500,19,19,19.0
383,60.0,0.0,0,784,784,0,784,1,5,0,2,360,0,0,76000,97,75,75.0
385,43.0,16.0,24,1256,1269,0,1269,2,6,1,2,430,146,20,192000,21,20,21.0
387,72.0,255.0,631,1041,1125,0,1125,1,6,1,1,352,296,0,125000,49,49,48.0
388,93.0,125.0,0,1468,1479,0,1479,2,6,0,2,577,120,25,191000,26,25,26.0
389,96.0,272.0,1280,1682,1742,590,2332,2,9,1,3,846,196,134,426000,18,17,17.0
390,50.0,0.0,241,861,961,406,1367,1,7,0,1,384,0,130,119000,125,75,47.0
391,71.0,0.0,690,804,804,1157,1961,2,7,1,2,560,125,192,215000,24,23,24.0
394,60.0,0.0,0,735,735,299,1034,1,5,0,1,240,0,39,109000,85,75,85.0
395,68.0,0.0,739,1144,1144,0,1144,1,6,0,1,596,44,0,129000,69,69,69.0
396,60.0,0.0,777,894,894,0,894,1,6,0,2,600,215,0,123000,53,53,40.0
397,69.0,288.0,540,864,876,936,1812,2,8,1,1,264,0,168,169500,63,63,63.0
398,60.0,0.0,0,961,1077,0,1077,1,6,0,1,338,0,0,67000,105,75,105.0
399,65.0,100.0,812,1092,1112,438,1550,2,7,0,2,438,0,168,241000,19,18,18.0
400,38.0,0.0,786,1260,1288,0,1288,1,4,2,2,500,120,30,245500,29,29,29.0
401,65.0,0.0,24,1310,1310,0,1310,2,6,1,2,400,0,0,164990,20,20,20.0
402,60.0,0.0,0,672,672,0,672,1,4,0,1,240,168,0,108000,85,28,85.0
403,93.0,650.0,0,1141,1165,1098,2263,2,10,1,2,420,144,123,258000,27,27,27.0
406,51.0,0.0,0,1064,1166,0,1639,1,6,0,1,240,0,0,115000,89,75,89.0
407,63.0,0.0,0,840,840,840,1680,2,8,0,1,308,0,0,177000,110,49,65.0
408,109.0,350.0,0,1063,1071,1101,2172,2,9,1,3,947,192,62,280000,19,19,19.0
409,85.0,100.0,789,1034,1050,1028,2078,2,8,1,3,836,0,102,339750,18,17,17.0
410,68.0,0.0,0,1276,1276,0,1276,1,5,0,1,350,0,0,60000,67,67,67.0
411,100.0,0.0,1056,1056,1056,0,1056,1,5,0,2,572,264,0,145000,70,70,70.0
413,56.0,0.0,0,1008,1028,0,1028,1,5,1,2,360,0,0,115000,98,75,98.0
414,59.0,0.0,50,1080,1080,1017,2097,2,9,1,3,678,196,187,228000,32,32,32.0
415,73.0,0.0,24,1340,1340,0,1340,2,6,0,2,396,100,30,181134,18,18,18.0
416,74.0,203.0,209,672,672,728,1400,1,6,1,2,440,0,0,149500,47,47,47.0
417,86.0,0.0,1128,1370,1370,1254,2624,2,10,1,3,864,0,0,239000,107,75,107.0
418,60.0,0.0,312,756,756,378,1134,1,7,0,1,240,0,0,126000,85,75,85.0
419,65.0,0.0,775,1056,1056,0,1056,1,6,1,1,304,0,85,142000,57,57,57.0
420,78.0,200.0,1309,1344,1344,0,1344,2,8,0,4,784,0,0,206300,28,27,28.0
422,100.0,0.0,0,988,988,0,988,1,4,0,2,520,0,0,113000,71,71,71.0
423,80.0,473.0,986,1470,1470,1160,2630,2,8,1,3,696,0,66,315000,27,27,27.0
424,72.0,74.0,616,1196,1196,0,1196,1,6,1,1,297,0,44,139000,69,69,69.0
425,60.0,0.0,0,651,707,682,1389,1,6,2,1,240,0,0,135000,79,33,78.0
427,77.0,0.0,288,907,907,0,907,1,5,0,1,352,0,0,109008,68,68,61.0
428,64.0,108.0,664,1208,1208,0,1208,2,6,0,2,628,105,54,195400,18,18,18.0
429,130.0,0.0,1005,1392,1412,0,1412,2,6,1,2,576,0,0,175000,37,37,37.0
430,21.0,232.0,387,483,483,504,987,1,4,0,1,264,0,0,85400,54,54,54.0
432,24.0,376.0,471,765,765,600,1365,1,6,0,2,440,240,36,122500,54,54,54.0
433,100.0,0.0,0,926,926,678,1604,2,7,1,2,470,0,36,181000,28,27,28.0
435,43.0,0.0,385,799,827,834,1661,2,6,1,2,550,158,61,212000,29,29,29.0
436,40.0,0.0,0,648,734,384,1118,1,6,0,2,440,0,0,116000,105,75,35.0
437,50.0,0.0,0,884,904,0,904,1,4,0,1,180,0,0,119000,99,21,99.0
438,40.0,0.0,365,440,694,0,694,1,4,1,1,352,0,0,90350,112,23,35.0
439,67.0,0.0,0,684,684,512,1196,1,7,0,2,528,0,46,110000,105,25,20.0
440,105.0,200.0,1767,3094,2402,0,2402,2,10,2,3,672,0,72,555000,17,17,17.0
442,52.0,0.0,0,1078,1128,445,1573,2,8,1,2,360,0,0,162900,95,33,95.0
443,53.0,72.0,0,1258,1258,0,1258,2,6,1,3,648,144,16,172500,19,18,18.0
444,70.0,0.0,642,915,933,975,1908,2,8,1,2,493,144,133,210000,31,30,31.0
445,73.0,0.0,0,1436,1689,0,1689,1,7,1,2,480,0,0,127500,69,69,69.0
446,137.0,0.0,247,1517,1888,0,1888,2,6,1,2,578,0,0,190000,59,23,59.0
448,50.0,0.0,0,780,780,596,1376,2,7,1,1,198,0,0,119500,88,75,88.0
449,50.0,0.0,331,649,679,504,1183,1,6,0,1,308,0,176,120000,77,23,44.0
450,70.0,0.0,0,813,813,0,813,1,5,0,1,270,0,113,110000,95,20,93.0
451,62.0,0.0,655,1533,1533,0,1533,2,5,2,2,576,200,54,280000,50,50,50.0
453,75.0,0.0,0,768,786,804,1590,2,6,0,2,676,0,30,210000,17,17,17.0
454,63.0,0.0,1606,1728,1728,0,1728,2,8,0,2,560,0,0,188000,49,49,49.0
455,80.0,320.0,916,1242,1242,0,1242,1,6,1,2,528,0,0,175500,52,52,52.0
456,34.0,0.0,0,624,624,720,1344,1,7,0,3,513,0,0,98000,109,75,109.0
460,75.0,110.0,544,832,832,1103,1935,2,8,0,2,552,0,150,263435,16,16,16.0
461,60.0,0.0,350,560,575,560,1135,1,6,0,2,576,256,0,155000,89,18,54.0
462,60.0,0.0,553,864,864,0,864,1,5,1,1,360,0,0,62383,60,60,60.0
463,74.0,0.0,326,715,849,811,1660,1,6,1,1,240,0,0,188700,91,30,86.0
466,85.0,0.0,778,1277,1277,0,1277,1,5,1,2,526,0,0,167000,55,55,55.0
467,79.0,224.0,386,728,888,756,1644,1,7,2,1,312,168,0,146500,83,30,83.0
468,98.0,248.0,0,1626,1634,0,1634,2,7,1,3,866,0,44,250000,19,19,19.0
469,76.0,120.0,426,832,832,878,1710,2,7,0,2,506,144,70,187000,32,32,32.0
471,92.0,0.0,0,808,1161,808,1969,2,8,1,2,534,0,0,190000,48,48,48.0
472,35.0,80.0,459,547,1072,0,1072,1,5,0,2,525,0,28,148000,20,20,20.0
473,110.0,304.0,1350,1976,1976,0,1976,2,7,1,3,908,250,63,440000,19,18,19.0
474,41.0,0.0,1196,1494,1652,0,1652,2,6,0,2,499,96,48,251000,25,25,25.0
475,80.0,0.0,630,970,970,0,970,1,5,0,2,624,0,24,132500,62,62,29.0
476,75.0,215.0,994,1478,1493,0,1493,2,7,1,2,508,140,39,208900,28,27,28.0
477,105.0,772.0,0,2153,2069,574,2643,2,9,1,3,694,414,84,380000,19,19,19.0
478,79.0,336.0,1288,1705,1718,0,1718,2,7,1,3,826,208,44,297000,18,17,18.0
479,50.0,435.0,168,907,1131,0,1131,1,7,0,2,672,0,72,89471,88,25,30.0
480,98.0,378.0,1261,1833,1850,0,1850,2,8,1,3,772,519,112,326000,21,20,21.0
481,72.0,562.0,1567,1792,1792,0,1792,2,6,1,3,874,206,49,374000,22,21,22.0
482,50.0,0.0,299,910,916,910,1826,1,7,1,1,164,0,0,155000,110,20,110.0
483,32.0,116.0,897,1216,1216,0,1216,2,5,0,2,402,0,125,164000,27,27,27.0
485,80.0,0.0,607,1113,1113,0,1113,1,5,1,1,264,0,80,147000,75,18,75.0
486,79.0,168.0,836,1073,1073,0,1073,1,6,0,2,515,0,0,156000,60,60,60.0
487,70.0,0.0,998,1484,1484,0,1484,2,7,1,2,487,224,0,175000,54,54,54.0
488,60.0,0.0,664,954,1766,648,2414,2,10,1,2,520,142,0,160000,125,55,55.0
489,21.0,0.0,515,630,630,0,630,1,3,0,1,286,0,0,86000,55,23,55.0
491,79.0,0.0,403,806,958,620,1578,1,5,2,1,240,0,0,133000,84,75,84.0
492,105.0,0.0,0,728,728,728,1456,2,8,0,2,429,0,0,172785,19,19,19.0
493,70.0,0.0,374,1269,1269,0,1269,1,6,1,1,308,0,0,155000,65,65,61.0
494,50.0,0.0,0,190,886,0,886,1,4,0,1,273,144,20,91300,87,29,87.0
497,60.0,0.0,329,1026,1133,687,1820,2,8,0,1,240,0,100,184000,100,75,100.0
498,65.0,89.0,450,864,899,0,899,1,5,0,1,288,64,0,130000,58,21,58.0
499,70.0,0.0,111,912,912,0,912,1,5,0,1,297,12,285,120000,67,40,67.0
500,21.0,285.0,356,672,672,546,1218,1,7,0,1,264,144,28,113000,52,52,52.0
501,75.0,0.0,400,866,866,902,1768,2,7,0,2,603,0,108,226700,20,20,20.0
502,70.0,0.0,698,1214,1214,0,1214,1,6,0,2,461,0,0,140000,60,60,60.0
503,100.0,0.0,1247,1501,1801,0,1801,2,6,2,2,484,0,54,289000,66,28,66.0
504,24.0,0.0,257,855,855,467,1322,2,6,1,2,440,260,0,147000,51,51,51.0
505,60.0,360.0,0,960,960,1000,1960,2,10,0,2,400,0,0,124500,73,73,73.0
506,80.0,125.0,380,777,1065,846,1911,2,8,1,2,471,182,81,215000,32,31,32.0
507,75.0,0.0,27,1218,1218,0,1218,2,4,0,2,676,0,102,208300,16,16,16.0
508,60.0,0.0,141,689,689,689,1378,2,7,1,2,360,0,0,161000,97,20,97.0
509,80.0,132.0,991,1041,1041,0,1041,1,6,0,1,270,224,88,124500,66,66,66.0
510,75.0,70.0,650,1008,1363,0,1363,1,6,2,1,288,324,42,164900,74,25,74.0
511,40.0,94.0,0,1368,1368,0,1368,2,6,1,2,474,132,35,202665,20,19,20.0
512,70.0,0.0,521,864,864,0,864,1,5,0,2,624,0,0,129900,67,67,61.0
513,71.0,0.0,336,1084,1080,0,1080,1,5,0,2,484,120,0,134000,42,42,42.0
514,55.0,0.0,0,768,789,0,789,1,5,0,1,200,0,0,96500,99,75,99.0
515,94.0,305.0,1436,2006,2020,0,2020,2,9,1,3,900,156,54,402861,16,16,16.0
517,79.0,921.0,0,1264,1277,1067,2344,2,7,1,3,889,220,0,265000,29,28,29.0
519,53.0,0.0,0,1276,1276,804,2080,1,9,2,1,282,0,0,234000,99,21,99.0
521,90.0,0.0,777,1244,1244,0,1244,1,6,2,1,336,0,40,150000,68,68,68.0
522,50.0,0.0,399,1004,1004,660,1664,2,7,2,2,420,0,24,159000,78,75,75.0
523,130.0,762.0,2260,3138,3138,1538,4676,3,11,1,3,884,208,406,184750,18,17,18.0
524,95.0,594.0,719,1379,1383,1015,2398,2,8,1,3,834,239,60,315750,29,28,29.0
525,62.0,0.0,0,1257,1266,0,1266,2,6,1,2,453,38,144,176000,20,20,20.0
526,70.0,0.0,377,928,928,0,928,1,4,0,1,252,261,0,132000,69,25,69.0
527,67.0,268.0,1330,1452,1476,1237,2713,2,11,1,3,858,126,66,446261,17,17,17.0
530,85.0,219.0,783,1461,1509,0,1509,2,5,1,2,600,224,0,175000,37,36,37.0
531,60.0,0.0,0,611,751,611,1362,2,6,0,2,502,0,0,128000,105,26,105.0
532,60.0,0.0,0,0,827,0,827,1,5,1,1,392,0,0,107500,70,18,58.0
534,74.0,0.0,0,707,707,707,1414,2,6,1,2,403,100,35,178000,21,21,21.0
536,57.0,0.0,0,880,880,844,1724,2,8,0,2,527,120,155,188000,27,26,27.0
540,85.0,584.0,1260,1838,1838,0,1838,2,8,1,3,765,270,68,315000,19,19,19.0
542,78.0,0.0,144,1650,1680,0,1680,2,7,1,2,583,78,73,213250,27,26,27.0
543,34.0,182.0,584,723,767,0,767,1,4,0,1,367,120,40,133000,27,27,27.0
544,58.0,0.0,554,654,664,832,1496,2,7,1,2,426,100,24,179665,19,19,19.0
546,70.0,0.0,300,1065,915,720,1635,1,6,1,2,440,0,38,210000,102,75,75.0
547,54.0,0.0,619,768,768,0,768,1,5,0,2,624,104,0,129500,55,55,38.0
548,49.0,0.0,180,825,825,0,825,1,4,0,2,720,140,50,125000,70,30,62.0
549,75.0,0.0,0,912,912,1182,2094,2,8,1,2,615,182,182,263000,22,21,22.0
550,53.0,0.0,559,1069,1069,0,1069,2,4,0,2,440,0,55,140000,48,48,48.0
551,50.0,0.0,308,928,928,0,928,1,5,0,1,288,0,0,112500,68,68,68.0
552,87.0,250.0,0,1709,1717,0,1717,2,7,1,3,908,169,39,255500,19,19,19.0
553,67.0,0.0,0,0,1126,0,1126,2,5,0,2,520,0,96,108000,76,22,23.0
554,85.0,292.0,866,998,1006,1040,2046,2,8,1,3,871,320,62,284000,22,21,22.0
555,58.0,0.0,0,993,1048,0,1048,1,5,1,1,280,0,0,113000,103,75,103.0
556,69.0,0.0,895,1092,1092,0,1092,1,6,1,1,299,268,0,141000,68,68,68.0
557,60.0,0.0,637,637,897,439,1336,1,7,0,1,570,0,47,108000,105,75,31.0
558,57.0,0.0,604,729,729,717,1446,2,6,1,2,406,264,22,175000,29,28,29.0
561,77.0,0.0,1071,1389,1389,0,1389,1,6,1,2,418,240,38,170000,51,50,50.0
563,66.0,0.0,0,1163,1163,511,1674,2,8,1,2,396,72,36,185000,107,75,70.0
565,66.0,0.0,0,806,841,806,1647,1,6,0,1,216,0,66,128000,110,75,105.0
566,77.0,245.0,0,1122,1134,1370,2504,2,11,1,3,656,144,39,325000,20,18,20.0
567,70.0,168.0,2,1517,1535,0,1535,2,7,0,2,532,0,0,214000,21,21,21.0
568,79.0,0.0,1441,1496,1496,636,2132,1,5,1,2,612,349,40,316600,42,16,42.0
570,74.0,108.0,231,1728,1728,0,1728,2,10,0,2,576,0,0,142600,60,60,38.0
571,60.0,207.0,414,864,864,0,864,1,4,0,1,288,168,0,120000,66,66,66.0
572,83.0,0.0,0,846,846,846,1692,2,6,0,2,650,208,114,224500,16,16,16.0
573,76.0,0.0,0,384,774,656,1430,2,8,1,2,400,100,0,170000,25,25,25.0
574,70.0,82.0,349,372,576,533,1109,1,5,0,1,288,35,0,139000,54,20,54.0
575,80.0,0.0,442,832,832,384,1216,1,6,0,1,336,158,0,118500,78,75,78.0
576,52.0,0.0,0,861,877,600,1477,2,6,1,1,216,0,50,145000,97,75,97.0
577,96.0,97.0,328,1164,1320,0,1320,1,6,2,2,564,160,68,164500,59,59,59.0
578,34.0,0.0,0,689,703,689,1392,2,5,0,2,540,0,102,146000,18,18,18.0
579,81.0,335.0,0,1050,1050,745,1795,2,7,0,1,352,0,0,131500,71,71,71.0
581,98.0,306.0,0,2042,2042,0,2042,2,8,1,3,1390,0,90,253293,17,16,16.0
583,75.0,0.0,0,1237,1521,1254,2775,3,9,1,2,880,105,502,325000,132,25,37.0
584,51.0,0.0,0,884,989,584,1573,1,6,0,1,240,0,0,133000,90,30,90.0
585,88.0,208.0,1460,1868,2028,0,2028,2,7,2,3,880,326,66,369900,20,19,20.0
586,55.0,0.0,210,816,838,0,838,1,5,0,1,275,0,0,130000,107,25,64.0
587,74.0,0.0,672,840,860,0,860,1,4,0,2,528,0,0,137000,43,43,29.0
588,65.0,0.0,1324,1437,1473,0,1473,1,5,2,1,452,0,48,143000,57,22,57.0
589,50.0,0.0,0,742,779,0,935,1,4,0,1,308,0,0,79500,95,65,37.0
590,64.0,0.0,490,770,770,812,1582,2,6,0,2,520,0,45,185900,21,21,21.0
591,97.0,420.0,1338,1722,1728,568,2296,2,10,1,3,842,382,274,451950,17,17,17.0
592,60.0,0.0,816,816,816,0,816,1,4,0,2,816,0,0,138000,43,22,40.0
594,88.0,0.0,0,924,924,0,924,1,5,0,1,280,0,0,110000,50,50,44.0
595,69.0,238.0,1422,1814,1826,0,1826,2,7,1,3,758,180,75,319000,20,19,20.0
596,60.0,0.0,0,684,684,684,1368,1,7,0,1,216,0,158,114504,115,32,95.0
597,53.0,72.0,0,1258,1402,0,1402,0,7,1,3,648,120,16,194201,19,18,19.0
598,80.0,459.0,1283,1430,1647,0,1647,2,7,1,2,621,0,0,217500,48,48,48.0
599,24.0,0.0,81,716,716,840,1556,2,6,1,2,452,161,0,151000,45,45,45.0
600,74.0,280.0,546,1058,1058,846,1904,2,8,1,2,736,179,60,275000,20,20,22.0
601,50.0,0.0,0,780,780,595,1375,1,6,1,1,544,0,162,141000,88,75,46.0
602,80.0,0.0,789,908,927,988,1915,2,8,1,2,506,120,150,220000,33,33,33.0
603,30.0,0.0,0,600,600,600,1200,2,4,0,2,480,0,172,151000,21,20,21.0
604,88.0,99.0,922,1494,1494,0,1494,2,6,1,2,530,192,36,221000,23,23,23.0
605,85.0,176.0,454,768,1186,800,1986,2,7,3,2,486,0,42,205000,60,35,60.0
606,82.0,0.0,732,1040,1040,0,1040,1,6,0,2,576,168,0,152000,29,29,25.0
607,78.0,0.0,603,896,1112,896,2008,3,8,0,1,230,103,0,225000,77,23,77.0
608,78.0,0.0,428,965,1940,1254,3194,2,10,2,2,380,0,0,359100,91,27,91.0
609,61.0,192.0,903,1029,1029,0,1029,1,5,0,1,261,64,0,118500,64,64,64.0
615,80.0,156.0,763,936,1054,0,1054,1,6,0,2,480,120,0,137500,62,62,62.0
617,59.0,0.0,0,832,832,0,832,1,4,0,2,528,0,0,105500,71,71,63.0
618,90.0,452.0,48,1822,1828,0,1828,2,9,1,3,774,0,108,314813,18,18,18.0
619,85.0,226.0,871,1482,1482,780,2262,2,10,2,3,749,168,0,305000,22,22,22.0
621,90.0,0.0,956,1522,1548,1066,2614,2,9,1,2,624,38,243,240000,51,28,51.0
622,71.0,153.0,560,980,980,0,980,1,6,0,2,484,192,0,135000,48,48,39.0
624,80.0,288.0,247,732,1012,778,1790,1,8,1,2,484,148,0,165150,53,53,53.0
625,87.0,261.0,0,1116,1116,0,1116,1,5,0,2,440,0,0,160000,63,63,63.0
627,80.0,164.0,674,1156,1520,0,1520,1,7,2,1,364,0,0,153000,70,53,70.0
628,70.0,192.0,650,1040,1040,1040,2080,1,9,2,2,504,335,0,135000,56,56,56.0
629,82.0,259.0,624,1248,1350,0,1350,1,6,0,2,520,176,0,168500,61,61,61.0
630,50.0,0.0,0,636,1089,661,1750,1,8,0,1,240,0,0,124000,145,34,88.0
631,34.0,108.0,24,1554,1554,0,1554,2,6,1,2,627,156,73,209500,19,19,19.0
632,85.0,209.0,822,1386,1411,0,1411,2,6,1,2,544,192,0,82500,48,48,48.0
633,80.0,0.0,480,1056,1056,0,1056,1,6,0,1,260,390,0,139400,71,20,71.0
634,64.0,0.0,1056,1056,1056,0,1056,0,4,0,2,576,264,56,144000,45,45,45.0
637,50.0,0.0,0,811,811,576,1387,2,7,0,1,256,0,0,93000,71,71,71.0
639,53.0,0.0,1154,1520,1567,0,1567,2,7,1,3,648,312,0,264561,19,19,19.0
640,62.0,472.0,1218,1518,1518,0,1518,1,6,1,2,588,185,140,274000,22,21,22.0
642,75.0,0.0,1410,1952,2000,704,2704,2,9,3,2,538,269,111,345000,53,30,53.0
643,80.0,263.0,493,780,780,840,1620,2,7,0,2,462,208,0,152000,56,56,56.0
644,85.0,162.0,1121,1766,1766,0,1766,2,7,1,3,478,195,130,370878,16,16,16.0
646,60.0,0.0,0,0,1048,0,1048,1,7,0,2,420,0,27,98300,75,75,75.0
647,85.0,216.0,500,1094,1094,0,1094,1,5,2,2,495,0,0,155000,72,72,72.0
648,70.0,351.0,0,756,1051,788,1839,1,7,1,2,442,0,124,155000,59,59,59.0
651,60.0,0.0,0,755,755,755,1510,1,7,1,1,296,120,0,108000,85,75,85.0
652,70.0,0.0,0,880,909,807,1716,2,7,1,2,512,0,120,191000,29,29,29.0
653,60.0,0.0,0,756,756,713,1469,1,7,0,1,216,57,0,135000,119,30,119.0
654,91.0,660.0,1696,2109,2113,0,2113,2,7,1,3,839,236,46,350000,30,30,30.0
655,21.0,381.0,0,525,525,567,1092,1,6,0,1,264,0,0,88000,54,54,54.0
656,72.0,54.0,806,1053,1053,0,1053,1,5,0,1,312,0,0,145500,66,19,66.0
657,60.0,0.0,0,776,851,651,1502,1,6,1,1,270,0,0,149000,94,25,94.0
658,78.0,0.0,0,912,912,546,1458,1,6,1,1,330,192,0,97500,77,75,77.0
659,75.0,0.0,637,1486,1486,0,1486,1,7,0,2,480,0,0,167000,61,26,57.0
661,52.0,528.0,1361,1629,1686,762,2448,2,8,1,3,711,517,76,402000,31,20,31.0
662,120.0,216.0,0,1392,1392,0,1392,1,5,2,2,576,0,0,110000,57,57,57.0
663,90.0,0.0,920,1138,1181,0,1181,2,6,0,2,588,0,0,137500,53,53,51.0
664,49.0,0.0,1721,2077,2097,0,2097,1,8,1,3,1134,192,267,423000,20,19,20.0
665,106.0,40.0,0,1406,1454,482,1936,2,7,1,2,504,188,124,230500,25,25,25.0
667,65.0,258.0,1138,1408,1679,0,1679,2,7,1,2,575,224,42,193500,31,27,31.0
669,80.0,0.0,0,700,1180,0,1180,1,5,1,1,252,0,0,137500,103,75,103.0
670,64.0,0.0,193,738,738,738,1476,2,7,0,2,540,100,35,173500,20,20,20.0
671,54.0,0.0,551,672,697,672,1369,2,6,0,1,300,147,0,103600,100,75,95.0
673,110.0,106.0,1186,1477,1839,0,1839,2,7,2,2,416,0,87,257500,68,21,68.0
674,80.0,0.0,892,1136,1136,0,1136,1,5,1,1,384,426,0,140000,60,60,60.0
675,24.0,0.0,311,855,855,586,1441,2,7,1,2,440,28,0,148500,47,47,47.0
676,60.0,0.0,0,1095,1095,679,1774,2,8,0,3,779,0,0,87000,125,75,105.0
677,52.0,0.0,0,768,792,0,792,1,5,0,1,240,316,0,109500,101,19,101.0
678,80.0,464.0,0,2046,2046,0,2046,2,7,1,3,834,322,82,372500,17,17,17.0
680,50.0,0.0,543,923,923,0,923,2,5,1,1,264,80,0,143000,45,45,45.0
681,55.0,0.0,182,793,848,672,1520,1,6,0,1,281,0,0,159434,93,25,57.0
683,90.0,215.0,1059,1626,1668,0,1668,2,7,1,3,702,257,45,285000,23,23,23.0
684,58.0,30.0,0,1195,1195,644,1839,2,7,0,2,486,0,81,221000,27,27,27.0
686,84.0,0.0,0,874,874,887,1761,3,7,0,2,578,144,105,227875,18,18,18.0
688,60.0,0.0,945,1419,1419,0,1419,2,7,1,2,567,140,0,392000,18,18,18.0
689,61.0,256.0,20,1362,1362,0,1362,2,6,1,2,460,192,28,194700,20,19,20.0
691,104.0,1170.0,1455,2444,2444,1872,4316,3,10,2,3,832,382,50,755000,31,30,31.0
692,42.0,293.0,965,1210,1238,1281,2519,2,9,2,2,628,320,27,335000,36,35,36.0
693,60.0,0.0,0,1073,1073,0,1073,1,4,0,1,326,0,0,108480,104,57,57.0
694,51.0,0.0,0,927,1067,472,1539,1,5,0,2,576,112,0,141500,89,75,30.0
695,54.0,72.0,980,1112,1137,0,1137,2,5,1,2,551,125,0,176000,38,38,38.0
696,50.0,0.0,616,616,616,0,616,1,4,0,1,205,0,0,89000,104,75,104.0
697,57.0,0.0,210,980,1148,0,1148,1,6,0,1,308,0,0,123500,73,73,73.0
698,65.0,0.0,553,894,894,0,894,1,5,1,1,336,416,144,138500,60,16,52.0
699,59.0,0.0,16,1391,1391,0,1391,2,5,0,2,530,156,158,196000,21,21,21.0
700,85.0,630.0,1274,1800,1800,0,1800,2,7,1,3,765,270,78,312500,23,23,23.0
701,80.0,168.0,0,1164,1164,0,1164,1,6,0,2,528,0,0,140000,56,56,56.0
702,82.0,466.0,0,1234,1264,1312,2576,2,10,1,3,666,324,100,361919,19,19,19.0
703,76.0,0.0,0,360,1032,780,1812,2,8,1,2,672,344,0,140000,125,29,26.0
704,70.0,109.0,712,1473,1484,0,1484,2,7,0,2,606,0,35,213000,21,20,21.0
707,48.0,176.0,863,1324,1324,0,1324,2,6,1,2,550,192,38,254000,19,19,19.0
708,65.0,0.0,0,728,728,728,1456,2,8,1,2,400,100,24,179540,18,18,18.0
711,66.0,0.0,0,859,859,319,1178,1,7,0,1,384,68,0,102776,125,75,61.0
712,40.0,0.0,767,1228,1228,0,1228,2,5,1,2,472,168,120,189000,37,36,37.0
713,60.0,160.0,789,960,960,0,960,1,6,0,2,576,0,288,129000,55,55,55.0
715,78.0,174.0,0,1064,1350,0,1350,2,7,1,2,478,0,0,165000,51,51,51.0
716,60.0,0.0,0,718,1576,978,2554,1,8,0,2,704,0,48,159500,135,27,29.0
717,80.0,0.0,1084,1176,1178,0,1178,1,5,1,2,439,224,0,157000,52,25,52.0
718,96.0,651.0,1173,1311,1325,1093,2418,2,9,1,3,983,250,154,341000,32,31,32.0
719,69.0,0.0,523,971,971,0,971,1,5,1,1,300,0,0,128500,56,56,56.0
722,70.0,0.0,191,864,864,0,864,1,5,0,2,463,0,0,124500,55,55,31.0
723,60.0,0.0,0,941,997,473,1470,2,7,0,1,548,0,0,135000,71,53,67.0
724,86.0,340.0,1234,1698,1698,0,1698,2,8,1,3,768,327,64,320000,18,17,18.0
725,60.0,0.0,375,864,864,0,864,1,5,0,2,660,96,0,120500,55,55,36.0
727,64.0,82.0,724,1232,1232,0,1232,2,6,0,2,632,132,0,194500,18,18,18.0
728,85.0,95.0,0,1584,1776,0,1776,2,9,0,3,888,0,25,110000,67,67,57.0
729,52.0,0.0,152,780,848,0,1208,1,5,0,2,539,0,23,103000,100,75,63.0
730,39.0,0.0,1180,1595,1616,0,1616,2,5,1,2,608,237,152,236500,30,29,30.0
731,73.0,442.0,786,868,1146,0,1146,2,6,1,2,438,160,22,187500,22,22,22.0
732,75.0,202.0,252,1153,1153,878,2031,2,8,1,2,541,192,84,222500,27,26,27.0
733,80.0,0.0,594,864,1144,0,1144,1,6,1,1,264,165,0,131400,64,42,64.0
735,60.0,0.0,390,880,880,888,1768,1,6,2,2,320,0,341,163000,111,55,111.0
736,60.0,0.0,0,0,1040,0,1040,2,6,0,2,400,0,0,93500,75,75,76.0
737,72.0,0.0,0,893,901,900,1801,2,8,1,3,800,0,116,239900,20,20,20.0
739,65.0,0.0,0,864,864,864,1728,2,7,0,2,572,187,56,190000,21,21,21.0
740,60.0,0.0,0,264,768,664,1432,2,7,0,2,360,270,0,132000,115,23,115.0
741,65.0,0.0,832,912,912,0,912,1,5,0,1,288,168,0,142000,64,29,63.0
742,65.0,108.0,0,1349,1349,0,1349,2,6,0,2,539,120,55,179000,25,24,25.0
743,70.0,0.0,444,520,1464,0,1464,2,6,1,2,480,302,0,175000,62,26,28.0
744,41.0,0.0,733,1337,1337,0,1337,2,5,1,2,462,96,0,180000,32,32,32.0
747,65.0,0.0,0,1240,1320,1320,2640,1,8,1,4,864,181,0,265979,145,22,75.0
748,59.0,338.0,919,1720,1720,0,1720,2,7,1,2,527,240,56,260400,29,29,29.0
749,50.0,0.0,0,0,1088,441,1529,2,9,0,1,240,92,0,98000,80,75,80.0
752,79.0,0.0,1200,1479,1494,0,1494,2,6,0,2,576,168,27,217000,28,28,28.0
